name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed
Bulbasaur,Grass,Poison,45,49,49,65,65,45
Ivysaur,Grass,Poison,60,62,63,80,80,60
Venusaur,Grass,Poison,80,82,83,100,100,80
Charmander,Fire,,39,52,43,60,50,65
Charmeleon,Fire,,58,64,58,80,65,80
Charizard,Fire,Flying,78,84,78,109,85,100
Squirtle,Water,,44,48,65,50,64,43
Wartortle,Water,,59,63,80,65,80,58
Blastoise,Water,,79,83,100,85,105,78
Pikachu,Electric,,35,55,40,50,50,90
Raichu,Electric,,60,90,55,90,80,110
Snorlax,Normal,,160,110,65,65,110,30
Gengar,Ghost,Poison,60,65,60,130,75,110
Gyarados,Water,Flying,95,125,79,60,100,81
Dragonite,Dragon,Flying,91,134,95,100,100,80
Mewtwo,Psychic,,106,110,90,154,90,130
Eevee,Normal,,55,55,50,45,65,55
Vaporeon,Water,,130,65,60,110,95,65
Jolteon,Electric,,65,65,60,110,95,130
Flareon,Fire,,65,130,60,95,110,65
